UID	Ferlus's numbering	I = EFEO; II = SOAS +CNRS; III = Michel Ferlus; IV = Frédéric Pain	French	English	Chinese [简体中文]	Vietnamese	Vietnamese (older form, corrected since)	Written Khmer	Standard (Modern) Khmer	Tatey Leu Khmer	Written Khmer: variant	Standard (Modern) Khmer: variant	Tatey Leu Khmer: variant	semantics	sémantique	TaiYo	TaiYo IPA (Mỹ Dạ)		
1	1	I	Ciel	Sky	天	trời		megh	meːc	mèːk				natural environment	environnement naturel	phã	fɑ:53		
2	1a	III	Clair, ciel clair	Clear sky	晴天	trời trong		-	-					natural environment	environnement naturel	phã xớ	fɑ53 sə13		
3	1b	III	Sombre, ciel sombre	Dark sky	阴天	(trời) râm	trời dâm, trời tối	-	-					natural environment	environnement naturel	phã bốt, mựt	fɑ53 bot55 		
4	2	I	Soleil	Sun	太阳	mặt trời		thṅai	tʰŋaj	tʰŋáj ʔɛj				natural environment	environnement naturel	tá nghên	tɑ13 ŋen55		
5	2a	III	Briller, le soleil brille	Shine (the sun shines)	闪耀（太阳闪耀），有阳光	(nắng) chiếu	trời nắng	-	-					natural environment	environnement naturel	phã đẹt	fɑ53 dɛt		
6	2b	III	Rayon de soleil	Sun beam	太阳光，阳光（一缕阳光）	tia nắng		-	-					natural environment	environnement naturel	xánh đẹt	sɑɲ13 dɛt		
7	2c	III	Voilé, soleil voilé	Dim (sunlight); cloudy (sky); hazy (sky)	黯淡；多云的；有雾的（天）	trời mù		-	-					natural environment	environnement naturel	phã mựt mọc	fɑ53 mɯt11 mɔk11		
8	2d	III	Eclipse de soleil	Solar eclipse	日食	nhật thực		-	-					natural environment	environnement naturel	lắp củm cuồm	lʌp55 kum33 kwom31		
9	2.1	II	Ombre	Shadow	影（阴影，影子）	bóng	bóng mát	mlap¢	məlup	məlòp				natural environment	environnement naturel	hổm	hom33		
10	2.1a	III	Ombre de maison	Shadow of the house	房子的影子	bóng nhà		-	-					natural environment	environnement naturel	ngau hươn 	 ŋɑw55 hɯən55		
11	2.1b	III	Ombre d’arbre	Shadow of the tree	树的影子	bóng cây		-	-					natural environment	environnement naturel	hổm mãy	hom33 mɑi53		
12	3	I	Lune	Moon	月（月亮，月球）	mặt trăng		lok khæ	lɷːʔ kʰae	kʰɛ´ː				natural environment	environnement naturel	mạc bướn	mɑk11 bwən13		
13	3.1	III	Briller, la lune brille	Bright moon	明月	sáng, trăng sáng		-	-					natural environment	environnement naturel	bướn hủng	bɯən13 huŋ33		
14	3.2	III	Éclipse de lune	Lunar eclipse	月蚀	nguyệt thực		-	-					natural environment	environnement naturel	cốp ki bướn	kop13 ki55  bɯən13		
15	4	I	Étoile	Star	星	ngôi sao	cái sao	phkāy	pʰkaːj	pəkaːj				natural environment	environnement naturel	mạc đáo	mɑk11 dɑɔ13		
16	4.1	III	Étoiles filantes	Shooting stars	流星	sao băng	cái sao băng	-	-					natural environment	environnement naturel	mả đáo chuổng	mɑ33 dɑɔ13 cwoŋ31		
17	5	I	Se lever (le soleil —)	Rise (the sun rises)	（太阳）升起	mọc (mặt trời)		thṅai raḥ	tʰŋaj reəh	tʰŋaj lec			tʰŋɛ lec	natural environment	environnement naturel	tá nghên hừn	tɑ13 ŋen55 hɯn31		
18	6	I	Se coucher (le soleil —)	Set (the sun sets)	（太阳）落下	lặn (mặt trời)		thṅai lic	tʰŋaj lic	tʰŋaj lùc				natural environment	environnement naturel	tá nghên tốc	tɑ13 ŋen55 tok55		
19	7	I	Nuage	Cloud	云	mây		babak	pəpɔːʔ	ɓɔɓɒ`ːk				natural environment	environnement naturel	phà (phừa)	fɑ31 (fɯɑ31)		
20	8	I	Pluie	Rain	雨	mưa		dịk bhlieṅ	tɨk pʰliəŋ	pʰlíːaŋ			pʰléaŋ	natural environment	environnement naturel	phốn	fon13		
21	8a	III	Pluie forte	Heavy rain	暴雨	mưa to		-	-					natural environment	environnement naturel	phốn tợp 	fon13 təp11		
22	8b	III	Crachin	Drizzle	细雨	mưa phùn		-	-					natural environment	environnement naturel	phốn nhui	fon13 ɲɯi55		
23	8c	III	Ruisseler sur le sol	Dripping on the floor	滴落在地板上	chảy tràn	chảy như suối	-	-					natural environment	environnement naturel	láy khư huồi	lɑi13 xɯ55 hwoi31		
24	8d	III	Fuite du toit	Leak (from the roof; roof leaks)	漏（屋顶漏水）	dột (dột mái, mái dột)		-	-					natural environment	environnement naturel	xai ca	sɑi55 kɑ55		
25	8e	III	Goutte	Drop	滴	giọt		-	-					natural environment	environnement naturel	mịt nẵm	mit11 nʌm53		
26	8f	III	Goutter	Drip	滴（滴下）	nhỏ giọt		-	-					natural environment	environnement naturel	tốc mịt	tok55 mit11		
27	8.1	II	Brouillard	Fog, mist	雾	(sương) mù		’ăbda	ʔap	ɓɛc ʔap				natural environment	environnement naturel	nẵm mọc	nʌm53 mɔk11		
28	8.2	II	Grêle	Hail	冰雹	mưa đá		bril	prɨl	-				natural environment	environnement naturel	phốn tốc mả hếp	fon13 tok55 mɑ33 hep55		
29	8.3	II	Neige	Snow	雪	tuyết		-	-					natural environment	environnement naturel				
30	8.4	III	Rosée	Dew	露	sương, sương móc		-	-					natural environment	environnement naturel	mọc	mɔk11		
31	8.5	III	Gelée blanche	Hoarfrost	霜	sương muối		-	-					natural environment	environnement naturel	mọc ca nềnh	mɔk11 kɑ55 neɲ31		
32	9	I	Vent	Wind	风	gió		khyal¢	kʰjɑl	kʰjɒ´l			kʰcɑl	natural environment	environnement naturel	lôm	lom55		
33	9.1	II	Typhon	Typhoon	台风	bão		byuḥ saṅgharā	pʰjuh sɑŋkʰəriə	kʰjɒ´l pʰjùh				natural environment	environnement naturel	phã bà	fɑ53 bɑ31		
34	9.2	III	Souffler, le vent souffle	Blow	吹（风吹）	thổi		-	-					natural environment	environnement naturel	pảu	pɑu33		
35	9.3	III	Vent très fort	Strong wind	大风，强风	gió mạnh		-	-					natural environment	environnement naturel	lôm hanh	lom55 haɲ55		
36	9.4	III	Brise, vent léger	Breeze	微风	gió nhẹ, gió hiu hiu		-	-					natural environment	environnement naturel	lôm nọi 	lom55 nɔi11		
37	9.5	III	Coup de vent	Gale	狂风	(cơn) gió mạnh (từ cấp 7 đến cấp 10)	ngọn gió	-	-					natural environment	environnement naturel	pái lôm	pɑi13 lom55		
38	9.6	III	Tourbillon	Whirlwind	旋风	gió lốc		-	-					natural environment	environnement naturel	lôm quắt quỳu háng cảy	lom55  kwʌt55 kwiu21 hɑŋ13 kɑi33		
39	9.7	III	Emporté par le vent	Float in the wind, carried by the wind	随风飘	bay theo gió, gió cuốn		-	-					natural environment	environnement naturel	lôm lẵn ní	lom55 lʌn53 ni13		
40	10	I	Tonnerre	Thunder	雷	sấm		phgar	pʰkɔː	pəkɔːr				natural environment	environnement naturel	bốt			
41	10.1	II	Tonner, il tonne	It thunders	打雷	trời sấm		phgar lān¢	pʰkɔː loən	pəkɔːr làn				natural environment	environnement naturel	phã bốt			
42	11	I	Éclair	Lightning	闪电	chớp		mahā rīk	məhaː riːc	məhaː riːc				natural environment	environnement naturel	phã mạp			
43		IV	Éclair (variante)	Lightning	闪电	chớp		phlek bandor	pʰleːc ɓəntɷː(l)					natural environment	environnement naturel				
44	11.1	II	Il fait des éclairs	There are flashes of lightning	闪电（天闪了电）	(chớp) giật, trời chớp	trời chớp	-	-					natural environment	environnement naturel				
45	11.2	II	Foudre, la foudre tombe	The lightning strikes	雷电，雷击	sét đánh		randaḥ pāñ¢	rənteəh ɓaɲ	-				natural environment	environnement naturel				
46	11.3	III	Foudre frappe un arbre	The lightning strikes a tree	闪电击中了一颗树	sét đánh cây		-	-					natural environment	environnement naturel				
47	12	I	Arc-en-ciel	Rainbow	彩虹	cầu vồng		tandathanū	ʔɤnt(ʰ)ənuː	ʔɔntənùː				natural environment	environnement naturel	ngược hung			
48	13	I	Est (orient)	East	东	đông		dis khāṅ kœt	tɨh kʰaːŋ kaət	kʰaːŋ ʔe kə´ːt				directions	directions				
49	14	I	Ouest	West	西	tây		dis khāṅ lic	tɨh kʰaːŋ lɛc	kʰaːŋ ʔe lɛc				directions	directions				
50	15	I	Nord	North	北	bắc		dis khāṅ jœṅ	tɨh kʰaːŋ cəːŋ	kʰaːŋ ʔe cə`ːŋ				directions	directions				
51	16	I	Sud	South	南	nam		dis khāṅ tpūṅ	tɨh kʰaːŋ tʰɓoːŋ	kʰaːŋ ʔe tɓuːŋ				directions	directions				
52	16.1	II	Amont, en amont	Upstream	上游	đầu nguồn, trên nguồn		khāṅ lœ dịk	kʰaːŋ ləː tɨk	lə`ː tə`k				directions	directions				
53		IV	Amont, en amont	Upstream	上游	đầu nguồn		khāṅ lœ	kʰaːŋ ləː 	kəɓaːl tə`k				directions	directions				
54	16.2	II	Remonter en amont	To go upstream	去上游（到上游去，返回上游）	lên nguồn	lên nguồn	-	ləːŋ pəcraː(h)					directions	directions				
55		IV	Remonter en amont (variante)	To go upstream (variant)	去上游（到上游去，返回上游）	lên nguồn			ləːŋ tə`k					directions	directions				
56	16.3	II	Aval, en aval	Downstream	下游	cuối nguồn	hạ lưu, dưới biển	khāṅ krom	kʰaːŋ kraom	təpuk tə`k	dī krom dịk	tiː kraom tɨk		directions	directions				
57	16.4	II	Descendre en aval	To go downstream	去下游	xuôi	xuống biển	-	coːr ɓɒnduːj tə`k					directions	directions				
58	16.5	III	Haut, le haut	High	高	cao, trên cao		-	-					directions	directions				
59	16.6	III	Bas, le bas	Low	低	thấp, dưới thấp		-	-					directions	directions				
60	17	I	Terre	Earth, land	土（土地）	đất		ṭị	ɗɛj	ɗíː	braḥ tharaṇī	poét. tʰɔːrənɛj		natural environment	environnement naturel	đín			
61	17.1	III	Terre*, sortes	Sorts/kinds of earth	土的不同种类	(chủng) loại đất		-						natural environment	environnement naturel				
62	18	I	Plaine	Plain	平原（广阔平坦的原野）	đồng bằng		vāl	viəl	ɗiː ràːp			wàːl ràːp smə´ː	natural environment	environnement naturel	mương piêng	mɯəɲ55 pieɲ55		
63	19	I	Montagne	Mountain, hill	山	núi		bhnaṁ	pʰnum	pʰnòm				natural environment	environnement naturel	pu	pu55		
64	19.1	III	Sommet de montagne	Mountaintop	山顶，岭	đỉnh núi		-	-					natural environment	environnement naturel	chóm pu	cɔm13 pu55		
65	19.2	III	Pied de la montagne	Foot of the mountain	山麓，山脚	chân núi		-	-					natural environment	environnement naturel	tín pu	tin13 pu55		
66	19.3	III	Pente	Slope	坡	dốc		-	-					natural environment	environnement naturel				
67	19.4	III	Col, défilé	Pass, defile	垭口，垭口	đèo; hẻm núi, khe núi	đèo	-	-					natural environment	environnement naturel	kẽm	kɛm53		
68	19.5	III	Falaise	Cliff	悬崖	vách đá, vực thẳm	dốc đứng, bờ thẳm	-	-					natural environment	environnement naturel				
69	19.6	III	Abrupt, à pic	Abrupt, precipitous	陡峭	dốc đứng		-	-					natural environment	environnement naturel				
70	19.7	III	Vallée	Valley	溪谷	thung lũng		-	-					natural environment	environnement naturel				
71	19.8	III	Chaîne de montagne	Mountains, mountainous region	山地	dãy núi		-	-					natural environment	environnement naturel				
72	20	I	Caverne, grotte	Cave	洞（洞穴，山洞）	hang, động		rūṅ bhnaṁ	ruːŋ pʰnum	rùːŋ				natural environment	environnement naturel	thằm	ʈʌm31 		
73	20.1	III	Abri sous roche	Rock shelter, rockhouse, rock hole, crepuscular cave, abri	岩洞（指岩石钻孔或天然岩洞，石下可以躲雨过夜的地方）	hốc đá		-	-					natural environment	environnement naturel				
74	20.2	III	Galerie, grotte profonde	Deep cave	深洞（深的洞穴）	hang sâu		-	-					natural environment	environnement naturel				
75	20.3	III	Rivière souterraine	Underground river	暗河（地下河）	suối ngầm		-	-					natural environment	environnement naturel				
76	21	I	Chemin	Way, path, unpaved road	路，道	đường		phlūv	pʰlɤw	pʰluː				natural environment	environnement naturel	tang	tɑŋ55		
77	21.1	III	Chemin large	Wide path	宽路径	đường lớn	đường	rộng	-	-				natural environment	environnement naturel	tang quàng	tɑŋ55 kwɑŋ31		
78	21.2	III	Piste	Track	径，小路	đường mòn	đường	mòn	-	-				natural environment	environnement naturel				
79	21.3	III	Raccourci	Shortcut	捷径，近路	đường tắt	đường	tắt	-	-				natural environment	environnement naturel				
80	21.3a	III	Prendre un raccourci	Take a shortcut	抄（走简捷的路），走近路	đi tắt	đi đường tắt	-	-					natural environment	environnement naturel				
81	21.4	III	Croisement	Crossing	路口（十字路口）	ngã tư		-	-					natural environment	environnement naturel				
82	21.5	III	Endroit, lieu	Place	地方	nơi, chỗ		-	-					natural environment	environnement naturel				
83	22	I	Eau	Water	水	nước		dịk	tɨk	tə`k				natural environment	environnement naturel	nẵm 	nʌm53 		
84	22.1	II	Source	Spring, Source	源（源头）	nguồn nước	mạch nước	-	-					natural environment	environnement naturel	nẵm bỏ	nʌm53 bɔ33		
85	22.2	III	Couler, l’eau coule	Flow (water flows)	流（水流）	(nước) chảy	nước chảy	-	-					natural environment	environnement naturel	nẵm láy	nʌm53 lɑi13		
86	22.3	III	Limoneux, eau limoneuse	Muddy, silty (silty water)	泥泞	đầy bùn, bùn lầy	nước (đóng) bùn	-	-					natural environment	environnement naturel	nẵm pông	nʌm53 poŋ55		
87	22.4	III	Trouble, eau trouble	Turbid (turbid water)	浑，浊（浑水，浑浊）	(nước) đục		-	-					natural environment	environnement naturel	nẵm khủn	nʌm53 xun33		
88	22.5	III	Clair, eau claire, limpide	Clear, pure (clear water)	清（清水）	(nước) trong		-	-					natural environment	environnement naturel	nẵm xớ	nʌm53 sə13		
89	22.6	III	Inonder, recouvrir	Flood	淹没（水淹）	(nước) ngập		-	-					natural environment	environnement naturel	nẵm thuồm	nʌm53 ʈwom31		
90	22.7	III	Inondation, recouvert	Flood	洪水	ngập lụt		-	-					natural environment	environnement naturel				
91	22.8	III	Monter, le niveau m.	Rise	上（上层），上升	dâng lên		-	-					natural environment	environnement naturel				
92	22.9	III	Baisser, le niveau b.	Lower	下（下层），降低	hạ, rút (xuống)		-	-					natural environment	environnement naturel				
93	23	I	Ruisseau	Stream	流（小河，小流）	suối		’ūr	ʔoː	ʔúːr				natural environment	environnement naturel	huồi	hwoi31		
94	24	I	Rivière, fleuve	River	河	sông	sông ngòi	sdịṅ	stɨŋ	stɯːŋ				natural environment	environnement naturel				
95	24.1	III	Lit du fleuve	Riverbed	河床	lòng sông		-	-					natural environment	environnement naturel				
96	24.2	III	Cascade	Cascade	瀑布	thác		-	-					natural environment	environnement naturel				
97	24.3	III	Plan d’eau, étang	Pond, pool, waterbody	池塘，水体	vũng nước	mặt nước	-	-					natural environment	environnement naturel				
98	24.4	III	Tourbillon	Whirlpool	漩涡	xoáy nước		-	-					natural environment	environnement naturel				
99	24.5	III	Rives	Shore	岸	bờ		-	-					natural environment	environnement naturel	phẳng	fʌŋ33		
100	24.6	III	Berge opposée	The opposite side of a river	对岸	bờ bên kia		-	-					natural environment	environnement naturel				
101	24.7	III	Gué (passage à gué)	Ford (n.)	浅滩	chỗ cạn		-	-					natural environment	environnement naturel				
102	24.8	III	Sinueux, rivière sinueuse	Winding	蜿蜒，弯曲	quanh co, uốn khúc		-	-					natural environment	environnement naturel				
103	24.9	III	Vagues, remous	Wave; swirl	波（波浪），漩涡	sóng		-	-					natural environment	environnement naturel				
104	24.10	III	Déborder, l’eau déborde	Overflow (water overflows)	溢，溢出（水溢出），泛滥	(nước) tràn		-	-					natural environment	environnement naturel				
105	24.11	III	Embouchure	Outlet	河口	cửa sông		-	-					natural environment	environnement naturel				
106	24.12	III	Rapides	Rapid	急流	ghềnh, thác ghềnh	thác nước	-	-					natural environment	environnement naturel				
107	25	I	Lac	Lake	湖	hồ		pịṅ	ɓɤŋ	ɓɤŋ				natural environment	environnement naturel	nóng tợp	nɔŋ13 təp11		
108	26	I	Marais	Marsh	泽（沼泽）	đầm lầy		daṁnāp pịṅ	təmniəp ɓɤŋ	tɯ`k cóːr tə`k				natural environment	environnement naturel				
109		IV	Marais sp.	Marsh	泽（沼泽）	đầm lầy		raṁlic	rəmlic	tɯ`k cóːr nàːc				natural environment	environnement naturel				
110		IV	Marais sp.	Marsh	泽（沼泽）	đầm lầy		vāl bhak¢	viəl pʰuə					natural environment	environnement naturel				
111		IV	Marais sp.	Marsh	泽（沼泽）	đầm lầy		ṭī ṭak¢ dịk	ɗɛj ɗɑʔ tɨk					natural environment	environnement naturel				
112	26.1	III	Flaque (après la pluie)	Puddle (after rain)	水坑（雨后）	vũng		-	-					natural environment	environnement naturel				
113	26.2	III	Mare asséchée	Dried-out pond	干池塘	ao cạn (ao đã tát cạn nước)	ao tát cạn	-	-					natural environment	environnement naturel				
114	26.3	III	Assécher pour pêcher	To sluice the pond for fishing, to dry out (a pond...) for fishing	排水捕鱼（放干池塘的水捕鱼）	tát cạn (để bắt cá), tát cá	tát cạn	-	-					natural environment	environnement naturel				
115	27	I	Mer	Sea	海	biển		samudra	səmot	səmɔt				natural environment	environnement naturel				
116		IV	Mer (région.)	Sea	海	biển		danle	tənleː					natural environment	environnement naturel				
117	27.1	II	Terre ferme	Dry land, mainland	陆，大陆	đất liền		ṭị gok	ɗɛj kɷːʔ	ɗiː kòːk				natural environment	environnement naturel				
118	27.2	III	Salé, terre salée	Salty (soil)	咸，咸土，盐土	mặn, đất mặn	đất mặn	-	-					natural environment	environnement naturel				
119	28	I	Sable	Sand	沙	cát		khsāc¢	kʰsac	ɗiː kʰsɛ´c				natural environment	environnement naturel	xai  	sɑi55  		
